,0
cat_Furniture,0.4078701
roll_mean_12,0.114022255
roll_max_6,0.039973248
roll_mean_6,0.03973298
roll_std_3,0.036204513
roll_std_12,0.03597904
roll_mean_3,0.034681015
reg_North America,0.028735895
quarter,0.027485022
lag_12,0.026226196
lag_1,0.026156396
cat_Technology,0.02280617
cat_Clothing & Accessories,0.01965163
roll_max_3,0.019402018
lag_3,0.018533768
time_idx,0.017981911
roll_std_6,0.017238239
lag_6,0.0147383
lag_2,0.0143924365
month_num,0.011643166
reg_South America,0.006444812
year,0.0057284925
reg_Europe,0.0050496026
reg_Asia Pacific,0.004683013
reg_Middle East & Africa,0.003733046
cat_Office Supplies,0.00090666657
