Product_Category,Region,Baseline_MAE,XGBoost_MAE,Improvement_%
Clothing & Accessories,Asia Pacific,551.5216666666666,477.84519833333337,13.35876227286325
Clothing & Accessories,Europe,533.125,472.970885,11.283304103165296
Clothing & Accessories,Middle East & Africa,154.77833333333334,156.38165083333334,-1.035879806605147
Clothing & Accessories,North America,859.0433333333334,496.5999225,42.191516628963235
Clothing & Accessories,South America,209.04749999999999,178.15463541666668,14.7779163029136
Furniture,Asia Pacific,1428.0625,818.1718666666666,42.70755890119189
Furniture,Europe,2118.226666666667,2050.5139091666665,3.1966719409946873
Furniture,Middle East & Africa,511.5391666666667,393.823475,23.01205837936816
Furniture,North America,1944.4058333333335,1384.8099775,28.77978692719756
Furniture,South America,492.4533333333334,379.706195,22.894989372935516
Office Supplies,Asia Pacific,152.92166666666665,95.71623199999999,37.40832539535492
Office Supplies,Europe,84.2175,71.92540783333334,14.595650745589293
Office Supplies,Middle East & Africa,89.31,78.48605641666667,12.119520303810695
Office Supplies,North America,62.11666666666667,66.67921416666667,-7.345126106788302
Office Supplies,South America,89.66833333333334,47.614493333333336,46.89932157394844
Technology,Asia Pacific,1305.865,838.4221533333333,35.79564860584109
Technology,Europe,1026.5616666666667,1023.6727891666668,0.28141295294810226
Technology,Middle East & Africa,425.91916666666674,505.97374708333336,-18.79572150818914
Technology,North America,840.4408333333334,720.3355991666666,14.29074235842501
Technology,South America,512.7733333333333,553.1507858333333,-7.87432767564616
